Year,ICPSR State Code,Alphanumeric State Code,Abbrv,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2014,31,16,IA,Iowa,0.503,0.498,0.473,1142284.0,1129700.0,2269179,2386733
2014,32,17,KS,Kansas,0.433,0.425,0.39799999999999996,887023.0,869502.0,2048164,2184712
2014,51,18,KY,Kentucky,0.449,0.442,0.42200000000000004,1459409.0,1435868.0,3247300,3406506
2014,45,19,LA,Louisiana,0.449,0.439,0.415,1503975.0,1472039.0,3349433,3545845
2014,2,20,ME,Maine,0.5870000000000001,0.581,0.57,616996.0,611255.0,1051557,1071521
2014,52,21,MD,Maryland,0.42,0.41700000000000004,0.373,1745104.0,1733177.0,4154546,4645171
2014,3,22,MA,Massachusetts,0.447,0.441,0.402,2186789.0,2158326.0,4896296,5369534
2014,23,23,MI,Michigan,0.43200000000000005,0.42700000000000005,0.41,3188956.0,3156531.0,7383958,7700110
2014,33,24,MN,Minnesota,0.506,0.504,0.47200000000000003,1992613.0,1981511.0,3935121,4194166
2014,34,26,MO,Missouri,0.336,0.317,0.305,1509025.0,1426303.0,4493722,4682458
2014,64,27,MT,Montana,0.475,0.469,0.461,373831.0,369826.0,787748,802644
2014,35,28,NE,Nebraska,0.414,0.405,0.38,552115.0,539891.0,1334453,1419489
2014,65,29,NV,Nevada,0.29600000000000004,0.293,0.252,552546.0,547349.0,1867644,2173640
2014,4,30,NH,New Hampshire,0.483,0.47600000000000003,0.46,495565.0,488159.0,1025862,1061054
2014,12,31,NJ,New Jersey,0.325,0.311,0.27,1955042.0,1869535.0,6014127,6936661
2014,13,33,NY,New York,0.29,0.282,0.24600000000000002,3930310.0,3819010.0,13553426,15544111
2014,47,34,NC,North Carolina,0.41200000000000003,0.408,0.379,2939767.0,2915281.0,7143737,7693406
2014,36,35,ND,North Dakota,0.45,0.43799999999999994,0.42700000000000005,255128.0,248670.0,567221,582205
2014,24,36,OH,Ohio,0.36200000000000004,0.35100000000000003,0.341,3149876.0,3055913.0,8701243,8969074
2014,53,37,OK,Oklahoma,0.3,0.299,0.281,825607.0,824831.0,2755091,2940437
2014,72,38,OR,Oregon,0.534,0.509,0.47200000000000003,1541782.0,1469717.0,2887517,3115883
2014,14,39,PA,Pennsylvania,0.365,0.361,0.34600000000000003,3535576.0,3495866.0,9689491,10100271
2014,5,40,RI,Rhode Island,0.424,0.41700000000000004,0.385,329212.0,324055.0,776286,842605
2014,48,41,SC,South Carolina,0.35200000000000004,0.348,0.331,1261611.0,1246301.0,3584461,3760480
2014,37,42,SD,South Dakota,0.447,0.44299999999999995,0.431,282291.0,279412.0,630989,647810
2014,54,43,TN,Tennessee,0.298,0.28600000000000003,0.272,1430117.0,1374065.0,4799476,5060636
2014,67,45,UT,Utah,0.303,0.297,0.275,577973.0,565970.0,1905801,2054936
2014,6,46,VT,Vermont,0.408,0.389,0.381,202445.0,193087.0,495884,507304
2014,40,47,VA,Virginia,0.368,0.366,0.337,2194346.0,2184473.0,5962456,6489957
2014,73,48,WA,Washington,0.431,0.41200000000000003,0.371,2123901.0,2029189.0,4928407,5467270
2014,56,49,WV,West Virginia,0.32,0.312,0.307,462864.0,451498.0,1447652,1472594
2014,25,50,WI,Wisconsin,0.569,0.5660000000000001,0.539,2422248.0,2410314.0,4260427,4470265
2014,68,51,WY,Wyoming,0.397,0.39,0.373,171153.0,168390.0,431434,451484
2012,0,0,US,United States,0.586,0.58,0.536,130292355.0,129070906.0,222474111,240957993
2012,81,2,AK,Alaska,0.589,0.5870000000000001,0.5529999999999999,301694.0,300495.0,511792,543763
2012,61,3,AZ,Arizona,0.53,0.526,0.465,2323579.0,2306559.0,4387900,4959270
2012,42,4,AR,Arkansas,0.511,0.507,0.47700000000000004,1078548.0,1069468.0,2109847,2242740
2012,71,5,CA,California,0.557,0.551,0.451,13202158.0,13038547.0,23681837,28913129
2012,62,6,CO,Colorado,0.706,0.6990000000000001,0.645,2596173.0,2569522.0,3675871,3981208
2012,1,7,CT,Connecticut,0.614,0.613,0.556,1560640.0,1558960.0,2543202,2801375
2012,55,9,DC,District of Columbia,0.616,0.615,0.555,294254.0,293764.0,477582,528848
2012,43,10,FL,Florida,0.633,0.628,0.551,8538264.0,8474179.0,13495057,15380947
2012,44,11,GA,Georgia,0.593,0.59,0.523,3919355.0,3900050.0,6606607,7452696
2012,82,12,HI,Hawaii,0.445,0.442,0.39899999999999997,437159.0,434697.0,982902,1088335
2012,63,13,ID,Idaho,0.61,0.598,0.556,666290.0,652274.0,1091410,1173727
2012,21,14,IL,Illinois,0.593,0.589,0.5329999999999999,5279752.0,5242014.0,8899143,9827043
2012,22,15,IN,Indiana,0.56,0.552,0.529,2663368.0,2624534.0,4755291,4960376
2012,31,16,IA,Iowa,0.706,0.703,0.6709999999999999,1589951.0,1582180.0,2251748,2356209
2012,32,17,KS,Kansas,0.5820000000000001,0.569,0.535,1182771.0,1156254.0,2030686,2162442
2012,51,18,KY,Kentucky,0.562,0.557,0.534,1815843.0,1797212.0,3229185,3368684
2012,45,19,LA,Louisiana,0.608,0.602,0.57,2014548.0,1994065.0,3311626,3495847
2012,2,20,ME,Maine,0.693,0.682,0.67,724758.0,713180.0,1046008,1064779
2012,52,21,MD,Maryland,0.6729999999999999,0.6659999999999999,0.595,2734062.0,2707327.0,4063582,4553853
2012,3,22,MA,Massachusetts,0.662,0.659,0.602,3184196.0,3167767.0,4809675,5263550
2012,23,23,MI,Michigan,0.654,0.647,0.62,4780701.0,4730961.0,7312725,7625576
2012,33,24,MN,Minnesota,0.764,0.76,0.7140000000000001,2950780.0,2936561.0,3861598,4114820
