Year,State,Median Income,Number Employed,Number Unemployed,Number Poverty,Number Families in Poverty,Median Age,Population,Pop: White Only,Pop: Black Only,Pop: American Indian Only,Pop: Native Hawaiian Only,Pop: Two or More Races,Pop: Hispanic Origin,Median Home Value,Median Gross Rent,Commute Time: Public Transit,Commute Time: Solo Auto,Commute Time: Walking,Transit: Solo Auto,Transit: Public Transit,Transit: Walking,state,Unemployment Rate,Poverty Rate,Pop Rate: White Only,Pop Rate: Black Only,Pop Rate: American Indian Only,Pop Rate: Native Hawaiian Only,Pop Rate: Two or More Races,Pop Rate: Hispanic Origin,ICPSR State Code,Alphanumeric State Code,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted (Estimate),Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP)
2016,Maine,53079.0,658476,30560,161749,25210,44.5,1331479.0,1257120.0,19963.0,17499.0,214.0,2450.0,26340.0,184700.0,797.0,12223700.0,177660.0,272345.0,511012.0,4232.0,25820.0,23,0.0443518190631549,0.12148069928252718,0.9441530808972579,0.014993101656128261,0.013142527970775355,0.00016072352624412403,0.0018400590621406722,0.019782512529300123,2,20,0.7290000000000001,0.7070000000000001,0.6940000000000001,771892.0,747927.0,1058372,1078037
2016,Maryland,78945.0,3073923,175235,567715,92359,38.5,6016447.0,3397255.0,1793593.0,376518.0,2480.0,230326.0,201041.0,306900.0,1314.0,69698735.0,14197355.0,983630.0,2247708.0,258950.0,74847.0,24,0.0539324341875649,0.0943605087853346,0.5646613358349205,0.29811498381021223,0.06258145380487853,0.00041220341507205164,0.03828272733059894,0.033415236600604976,52,21,0.67,0.664,0.595,2807322.0,2781446.0,4189616,4670900
2016,Massachusetts,75297.0,3571010,198840,686597,119222,39.5,6811779.0,5350175.0,506677.0,440845.0,3758.0,285412.0,212365.0,366900.0,1179.0,69365555.0,16939385.0,2362635.0,2457107.0,354611.0,168580.0,25,0.05274480416992718,0.10079554841694072,0.785429914857778,0.07438247776388518,0.06471804208562844,0.0005516914157079964,0.04189977390634664,0.03117614355956058,3,22,0.6829999999999999,0.672,0.611,3378801.0,3325046.0,4948028,5442458
2016,Michigan,52492.0,4586513,304288,1451936,251751,39.7,9928300.0,7793481.0,1363336.0,292514.0,2967.0,118621.0,306220.0,147100.0,818.0,90024560.0,2803890.0,1064095.0,3700498.0,64250.0,94131.0,26,0.062216393592787765,0.14624215626038697,0.7849763806492551,0.13731817128813595,0.029462647180282627,0.0002988427021745918,0.011947765478480707,0.030843145352175097,23,23,0.657,0.647,0.62,4874619.0,4799284.0,7420628,7744567
2016,Minnesota,65599.0,2921646,116518,533276,80100,37.9,5519952.0,4596566.0,331308.0,258899.0,1452.0,111852.0,156646.0,211800.0,912.0,51259850.0,3942365.0,805975.0,2232605.0,103966.0,75145.0,27,0.0383514517320329,0.09660881109111094,0.8327184729142573,0.060020087131192446,0.04690240060058493,0.0002630457656153532,0.02026321968017113,0.028378145317205658,33,24,0.747,0.741,0.6940000000000001,2968281.0,2944813.0,3973204,4240423
2016,Missouri,51746.0,2892864,149445,826954,149358,38.4,6093000.0,5011507.0,702946.0,117335.0,9193.0,71031.0,150100.0,151400.0,771.0,54591120.0,2035710.0,517100.0,2340513.0,41004.0,52536.0,29,0.04912222920157026,0.13572197603807648,0.8225023797800755,0.11536944034137535,0.019257344493681272,0.0015087805678647627,0.01165780403741999,0.02463482685048416,34,26,0.622,0.622,0.596,2811549.0,2808605.0,4517925,4710784
2016,Montana,50027.0,503850,25373,135638,20634,40.1,1042520.0,927374.0,3949.0,8432.0,578.0,3738.0,32218.0,217200.0,741.0,6464160.0,114565.0,266515.0,377028.0,3352.0,28169.0,30,0.0479438724318482,0.13010589724897365,0.8895503203775467,0.0037879369220734376,0.00808809423320416,0.0005544258143728658,0.00358554272340099,0.03090396347312282,64,27,0.643,0.618,0.608,516901.0,497147.0,804250,817702
2016,Nebraska,56927.0,987794,37751,211453,35279,36.3,1907116.0,1674863.0,89879.0,41548.0,1227.0,38348.0,45386.0,148100.0,769.0,,,,799206.0,5806.0,23977.0,31,0.03681067139910974,0.1108757936066815,0.8782176857621665,0.04712822922150514,0.021785774960726038,0.0006433798468472814,0.020107848709779583,0.023798237757954945,35,28,0.64,0.628,0.588,860573.0,844227.0,1343821,1436437
2016,Nevada,55180.0,1375164,98389,399420,68432,37.9,2940058.0,1966690.0,260993.0,244373.0,20240.0,274293.0,139202.0,239500.0,1003.0,24150095.0,2647435.0,316265.0,1068116.0,46044.0,22751.0,32,0.066769909192272,0.1358544627350889,0.6689289803126333,0.0887713779796181,0.08311842827590477,0.00688421793039457,0.0932950982599663,0.0473466849973708,65,29,0.574,0.574,0.494,1125429.0,1125385.0,1961587,2276281
2016,New Hampshire,70936.0,719923,26942,94289,13796,42.7,1334795.0,1247155.0,16671.0,32679.0,66.0,8057.0,28717.0,251100.0,1026.0,15047490.0,364140.0,191670.0,562580.0,6346.0,22011.0,33,0.03607345370314582,0.07063931165459865,0.9343419776070483,0.012489558321689848,0.02448241115676939,4.944579504717953e-05,0.0060361328893200825,0.02151416509651295,4,30,0.725,0.7140000000000001,0.691,755850.0,744296.0,1042795,1076739
2016,New Jersey,76126.0,4410393,282998,915913,166157,39.5,8944469.0,6090908.0,1194585.0,854181.0,3754.0,543530.0,237326.0,328200.0,1244.0,86761960.0,30213195.0,1548695.0,3063948.0,509502.0,123553.0,34,0.0602971284514757,0.10239993005733487,0.6809692112522275,0.13355572030044488,0.09549823471913202,0.0004197007111322092,0.06076716236592692,0.026533268772019895,12,31,0.6579999999999999,0.644,0.557,3957303.0,3874046.0,6013656,6959892
2016,New Mexico,46748.0,880676,71339,404463,73619,37.7,2081015.0,1539634.0,41043.0,32346.0,1428.0,206526.0,65905.0,167500.0,804.0,15102420.0,465595.0,234775.0,702110.0,12460.0,19839.0,35,0.07493474367525722,0.1943585221634635,0.7398476224342448,0.019722587295142036,0.015543376669557884,0.0006862036073742861,0.09924291751861472,0.031669641977592665,66,32,0.5489999999999999,0.545,0.502,804043.0,798319.0,1464515,1591069
2016,New York,62909.0,9503468,599965,2832824,495440,38.4,19745289.0,12530463.0,3080534.0,1668036.0,9236.0,1767107.0,616861.0,302400.0,1194.0,130053920.0,134784335.0,8345430.0,4888039.0,2636851.0,577983.0,36,0.05938229114796921,0.14346834832349123,0.6346051962065483,0.15601361924862178,0.08447766958488175,0.0004677571445016581,0.08949511957004022,0.031240920302559257,13,33,0.5720000000000001,0.568,0.496,7786881.0,7721453.0,13604645,15557982
